Bike_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,Country_Sold,N_Photos,Price,N_Inquires,is_sold
XL3-1009258,7,1405296000000000000,1408406400000000000,101104,Blue,Laos,31,61000,9,1.0
XL3-1051735,13,1403395200000000000,1409356800000000000,91903,Green,Laos,33,110000,11,0.0
XL3-1051735,22,1405296000000000000,1409356800000000000,91903,Green,Laos,33,76000,11,1.0
XL3-1035446,16,1405296000000000000,1408406400000000000,73945,Silver,Laos,31,110000,1,0.0
XL3-1035446,0,1405296000000000000,1408406400000000000,73945,Silver,Laos,31,93000,1,1.0
XL3-1210574,12,1405036800000000000,1408406400000000000,123137,Pearl,Laos,31,92000,8,0.0
XL3-1210574,3,1405296000000000000,1408406400000000000,123137,Pearl,Laos,31,65000,8,1.0
XL3-1191639,26,1404864000000000000,1409356800000000000,85798,Silver,Laos,33,110000,12,0.0
XL3-1191639,5,1405296000000000000,1409356800000000000,85798,Silver,Laos,33,73000,12,1.0
XL3-1044941,7,1404432000000000000,1408406400000000000,75614,Pearl,Laos,31,94000,13,0.0
XL3-1044941,10,1405296000000000000,1408406400000000000,75614,Pearl,Laos,31,67000,13,1.0
XL3-1170680,2,1403395200000000000,1408320000000000000,14473,Red,Laos,32,125000,3,0.0
XL3-1170680,22,1405296000000000000,1408320000000000000,14473,Red,Laos,32,98000,3,1.0
XL3-1057057,16,1404864000000000000,1409184000000000000,92797,Red,Laos,30,95000,11,0.0
XL3-1057057,6,1405382400000000000,1409184000000000000,92797,Red,Laos,30,73000,11,1.0
XL3-1050074,20,1405296000000000000,1408147200000000000,127253,Black,Laos,31,95000,13,0.0
XL3-1050074,1,1405382400000000000,1408147200000000000,127253,Black,Laos,31,61000,13,1.0
XL3-1549999,11,1404604800000000000,1408838400000000000,66073,White,Armenia,30,115000,6,0.0
XL3-1549999,9,1405382400000000000,1408838400000000000,66073,White,Armenia,30,88000,6,1.0
XL3-1027476,10,1404345600000000000,1409616000000000000,112340,Red,Laos,32,93000,4,0.0
XL3-1027476,12,1405382400000000000,1409616000000000000,112340,Red,Laos,32,71000,4,1.0
XL3-1048854,14,1405382400000000000,1408579200000000000,64183,Blue,Laos,37,95000,5,0.0
XL3-1048854,0,1405382400000000000,1408579200000000000,64183,Blue,Laos,37,78000,5,1.0
XL3-1057126,14,1404604800000000000,1409443200000000000,101690,Blue,Vietnam,40,93000,18,0.0
XL3-1057126,9,1405382400000000000,1409443200000000000,101690,Blue,Vietnam,40,66000,18,1.0
XL3-1093719,21,1405209600000000000,1408492800000000000,88336,Pearl,Laos,30,104000,5,0.0
XL3-1093719,2,1405382400000000000,1408492800000000000,88336,Pearl,Laos,30,77000,5,1.0
XL3-1551269,15,1403395200000000000,1410566400000000000,118406,Red,Laos,33,101000,7,0.0
XL3-1551269,24,1405468800000000000,1410566400000000000,118406,Red,Laos,33,59000,7,1.0
XL3-1019013,0,1404604800000000000,1407801600000000000,80559,White,Laos,32,95000,6,0.0
XL3-1019013,11,1405555200000000000,1407801600000000000,80559,White,Laos,32,78000,6,1.0
XL3-1022763,3,1403481600000000000,1409097600000000000,78300,Blue,Laos,36,105000,3,0.0
XL3-1022763,24,1405555200000000000,1409097600000000000,78300,Blue,Laos,36,68000,3,1.0
XL3-1020706,23,1405468800000000000,1409097600000000000,152595,Blue,Laos,36,100000,5,0.0
XL3-1020706,1,1405555200000000000,1409097600000000000,152595,Blue,Laos,36,63000,5,1.0
XL3-1075310,19,1404518400000000000,1410566400000000000,113281,White,Laos,32,94000,73,0.0
XL3-1075310,13,1405641600000000000,1410566400000000000,113281,White,Laos,32,57000,73,1.0
XL3-1566838,21,1404691200000000000,1410220800000000000,136998,Silver,Malaysia,30,107000,3,0.0
XL3-1566838,11,1405641600000000000,1410220800000000000,136998,Silver,Malaysia,30,77000,3,1.0
XL3-1070465,0,1403481600000000000,1409184000000000000,95631,Silver,Laos,30,95000,9,0.0
XL3-1070465,25,1405641600000000000,1409184000000000000,95631,Silver,Laos,30,68000,9,1.0
XL3-1047545,22,1404691200000000000,1409961600000000000,126242,Silver,Laos,30,94000,4,0.0
XL3-1047545,11,1405641600000000000,1409961600000000000,126242,Silver,Laos,30,57000,4,1.0
XL3-1001066,1,1403654400000000000,1409443200000000000,86957,Red,Laos,31,95000,6,0.0
